KO	gene	gene_name	EC_name	pathway	superpathway
K13051	ASRGL1	L-asparaginase / beta-aspartyl-peptidase	EC:3.5.1.1 3.4.19.5	Cyanoamino acid metabolism	Metabolism of other amino acids
K01914	asnA	aspartate--ammonia ligase	EC:6.3.1.1	Cyanoamino acid metabolism	Metabolism of other amino acids
K00600	glyA	glycine hydroxymethyltransferase	EC:2.1.2.1	Cyanoamino acid metabolism	Metabolism of other amino acids
K10814	hcnA	hydrogen cyanide synthase HcnA	EC:1.4.99.5	Cyanoamino acid metabolism	Metabolism of other amino acids
K10815	hcnB	hydrogen cyanide synthase HcnB	EC:1.4.99.5	Cyanoamino acid metabolism	Metabolism of other amino acids
K10816	hcnC	hydrogen cyanide synthase HcnC	EC:1.4.99.5	Cyanoamino acid metabolism	Metabolism of other amino acids
K18282	cynD	cyanide dihydratase	EC:3.5.5.-	Cyanoamino acid metabolism	Metabolism of other amino acids
K01455	E3.5.1.49	formamidase	EC:3.5.1.49	Cyanoamino acid metabolism	Metabolism of other amino acids
K01425	glsA	glutaminase	EC:3.5.1.2	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K23265	purQ	phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase	EC:6.3.5.3 3.5.1.2	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K05597	aspQ	glutamin-(asparagin-)ase	EC:3.5.1.38	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K00261	GLUD1_2	glutamate dehydrogenase (NAD(P)+)	EC:1.4.1.3	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K22210	DGLUCY	D-glutamate cyclase	EC:4.2.1.48	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K01776	murI	glutamate racemase	EC:5.1.1.3	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K01924	murC	UDP-N-acetylmuramate--alanine ligase	EC:6.3.2.8	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K01925	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	EC:6.3.2.9	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K23169	murD2	UDP-N-acetylmuramoyl-L-alanine---L-glutamate ligase	EC:6.3.2.53	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K23170	murL	UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate epimerase	EC:5.1.1.23	D-Glutamine and D-glutamate metabolism	Metabolism of other amino acids
K00273	DAO	D-amino-acid oxidase	EC:1.4.3.3	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K00824	dat	D-alanine transaminase	EC:2.6.1.21	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K17898	oraE	D-ornithine 4,5-aminomutase subunit beta	EC:5.4.3.5	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K17899	oraS	D-ornithine 4,5-aminomutase subunit alpha	EC:5.4.3.5	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K21672	ord	2,4-diaminopentanoate dehydrogenase	EC:1.4.1.12 1.4.1.26	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K21898	orr	ornithine racemase	EC:5.1.1.12	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K23385	dokD	D-ornithine/D-lysine decarboxylase	EC:4.1.1.116	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K19746	dauA	D-arginine dehydrogenase	EC:1.4.99.6	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K19744	dauB	L-arginine dehydrogenase	EC:1.4.1.25	D-Arginine and D-ornithine metabolism	Metabolism of other amino acids
K01775	alr	alanine racemase	EC:5.1.1.1	D-Alanine metabolism	Metabolism of other amino acids
K01921	ddl	D-alanine-D-alanine ligase	EC:6.3.2.4	D-Alanine metabolism	Metabolism of other amino acids
K00824	dat	D-alanine transaminase	EC:2.6.1.21	D-Alanine metabolism	Metabolism of other amino acids
K03367	dltA	D-alanine--poly(phosphoribitol) ligase subunit 1	EC:6.1.1.13	D-Alanine metabolism	Metabolism of other amino acids
K14188	dltC	D-alanine--poly(phosphoribitol) ligase subunit 2	EC:6.1.1.13	D-Alanine metabolism	Metabolism of other amino acids
K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	EC:2.3.2.2 3.4.19.13	Glutathione metabolism	Metabolism of other amino acids
K18592	GGT1_5	gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase	EC:2.3.2.2 3.4.19.13 3.4.19.14	Glutathione metabolism	Metabolism of other amino acids
K00682	GGCT	gamma-glutamylcyclotransferase	EC:4.3.2.9	Glutathione metabolism	Metabolism of other amino acids
K07232	CHAC	glutathione-specific gamma-glutamylcyclotransferase	EC:4.3.2.7	Glutathione metabolism	Metabolism of other amino acids
K01469	OPLAH	5-oxoprolinase (ATP-hydrolysing)	EC:3.5.2.9	Glutathione metabolism	Metabolism of other amino acids
K07160	pxpA	5-oxoprolinase (ATP-hydrolysing) subunit A	EC:3.5.2.9	Glutathione metabolism	Metabolism of other amino acids
K23123	pxpB	5-oxoprolinase (ATP-hydrolysing) subunit B	EC:3.5.2.9	Glutathione metabolism	Metabolism of other amino acids
K23124	pxpC	5-oxoprolinase (ATP-hydrolysing) subunit C	EC:3.5.2.9	Glutathione metabolism	Metabolism of other amino acids
K06048	gshA	glutamate---cysteine ligase / carboxylate-amine ligase	EC:6.3.2.2 6.3.-.-	Glutathione metabolism	Metabolism of other amino acids
K01919	gshA	glutamate--cysteine ligase	EC:6.3.2.2	Glutathione metabolism	Metabolism of other amino acids
K01920	gshB	glutathione synthase	EC:6.3.2.3	Glutathione metabolism	Metabolism of other amino acids
K03423	E1.8.1.13	bis-gamma-glutamylcystine reductase	EC:1.8.1.13	Glutathione metabolism	Metabolism of other amino acids
K01255	CARP	leucyl aminopeptidase	EC:3.4.11.1	Glutathione metabolism	Metabolism of other amino acids
K07751	pepB	PepB aminopeptidase	EC:3.4.11.23	Glutathione metabolism	Metabolism of other amino acids
K01256	pepN	aminopeptidase N	EC:3.4.11.2	Glutathione metabolism	Metabolism of other amino acids
K01270	pepD	dipeptidase D	EC:3.4.13.-	Glutathione metabolism	Metabolism of other amino acids
K00799	GST	glutathione S-transferase	EC:2.5.1.18	Glutathione metabolism	Metabolism of other amino acids
K04097	HPGDS	prostaglandin-H2 D-isomerase / glutathione transferase	EC:5.3.99.2 2.5.1.18	Glutathione metabolism	Metabolism of other amino acids
K00383	GSR	glutathione reductase (NADPH)	EC:1.8.1.7	Glutathione metabolism	Metabolism of other amino acids
K00031	IDH1	isocitrate dehydrogenase	EC:1.1.1.42	Glutathione metabolism	Metabolism of other amino acids
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase	EC:1.1.1.43	Glutathione metabolism	Metabolism of other amino acids
K00033	PGD	6-phosphogluconate dehydrogenase	EC:1.1.1.44 1.1.1.343	Glutathione metabolism	Metabolism of other amino acids
K00036	G6PD	glucose-6-phosphate 1-dehydrogenase	EC:1.1.1.49 1.1.1.363	Glutathione metabolism	Metabolism of other amino acids
K05360	TXNDC12	protein-disulfide reductase (glutathione)	EC:1.8.4.2	Glutathione metabolism	Metabolism of other amino acids
K00432	gpx	glutathione peroxidase	EC:1.11.1.9	Glutathione metabolism	Metabolism of other amino acids
K01581	E4.1.1.17	ornithine decarboxylase	EC:4.1.1.17	Glutathione metabolism	Metabolism of other amino acids
K00797	speE	spermidine synthase	EC:2.5.1.16	Glutathione metabolism	Metabolism of other amino acids
K01460	gsp	glutathionylspermidine amidase/synthetase	EC:3.5.1.78 6.3.1.8	Glutathione metabolism	Metabolism of other amino acids
K01001	ALG7	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	EC:2.7.8.15	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K00729	ALG5	dolichyl-phosphate beta-glucosyltransferase	EC:2.4.1.117	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K07432	ALG13	beta-1,4-N-acetylglucosaminyltransferase	EC:2.4.1.141	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K07441	ALG14	beta-1,4-N-acetylglucosaminyltransferase	EC:2.4.1.141	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K00721	DPM1	dolichol-phosphate mannosyltransferase	EC:2.4.1.83	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K03843	ALG2	alpha-1,3/alpha-1,6-mannosyltransferase	EC:2.4.1.132 2.4.1.257	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K03844	ALG11	alpha-1,2-mannosyltransferase	EC:2.4.1.131	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K03850	ALG10	alpha-1,2-glucosyltransferase	EC:2.4.1.256	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K07151	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase	EC:2.4.99.18	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K12666	OST1	oligosaccharyltransferase complex subunit alpha (ribophorin I)	NA	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K01230	MAN1A_C	mannosyl-oligosaccharide alpha-1,2-mannosidase	EC:3.2.1.113	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K00737	MGAT3	beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	EC:2.4.1.144	N-Glycan biosynthesis	Glycan biosynthesis and metabolism
K07432	ALG13	beta-1,4-N-acetylglucosaminyltransferase	EC:2.4.1.141	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K07441	ALG14	beta-1,4-N-acetylglucosaminyltransferase	EC:2.4.1.141	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K03843	ALG2	alpha-1,3/alpha-1,6-mannosyltransferase	EC:2.4.1.132 2.4.1.257	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K03844	ALG11	alpha-1,2-mannosyltransferase	EC:2.4.1.131	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K07151	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase	EC:2.4.99.18	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K12666	OST1	oligosaccharyltransferase complex subunit alpha (ribophorin I)	NA	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K01230	MAN1A_C	mannosyl-oligosaccharide alpha-1,2-mannosidase	EC:3.2.1.113	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K05528	OCH1	alpha 1,6-mannosyltransferase	EC:2.4.1.232	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K05535	MNN2	alpha 1,2-mannosyltransferase	EC:2.4.1.-	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K12373	HEXA_B	hexosaminidase	EC:3.2.1.52	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K14459	HEX	hexosaminidase	EC:3.2.1.52	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K09673	CHST9	carbohydrate 4-sulfotransferase 9	EC:2.8.2.-	Various types of N-glycan biosynthesis	Glycan biosynthesis and metabolism
K00728	POMT	dolichyl-phosphate-mannose-protein mannosyltransferase	EC:2.4.1.109	Mannose type O-glycan biosynthesis	Glycan biosynthesis and metabolism
K09667	OGT	protein O-GlcNAc transferase	EC:2.4.1.255	Other types of O-glycan biosynthesis	Glycan biosynthesis and metabolism
K00728	POMT	dolichyl-phosphate-mannose-protein mannosyltransferase	EC:2.4.1.109	Other types of O-glycan biosynthesis	Glycan biosynthesis and metabolism
K13500	fcbD	chondroitin synthase	EC:2.4.1.175 2.4.1.226	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
K01017	CHST11	chondroitin 4-sulfotransferase 11	EC:2.8.2.5	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
K07779	CHST13	chondroitin 4-sulfotransferase 13	EC:2.8.2.5	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
K08105	D4ST1	dermatan 4-sulfotransferase 1	EC:2.8.2.35	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	Glycan biosynthesis and metabolism
K01793	GLCE	heparosan-N-sulfate-glucuronate 5-epimerase	EC:5.1.3.17	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
K07808	HS3ST2		heparan sulfate	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
K07809	HS3ST3		heparan sulfate	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
K08104	HS3ST5		heparan sulfate	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	Glycan biosynthesis and metabolism
K01022	CHST1	keratan sulfate 6-sulfotransferase 1	EC:2.8.2.21	Glycosaminoglycan biosynthesis - keratan sulfate	Glycan biosynthesis and metabolism
K01197	hya	hyaluronoglucosaminidase	EC:3.2.1.35	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01195	uidA	beta-glucuronidase	EC:3.2.1.31	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01207	nagZ	beta-N-acetylhexosaminidase	EC:3.2.1.52	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01136	IDS	iduronate 2-sulfatase	EC:3.1.6.13	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01217	IDUA	L-iduronidase	EC:3.2.1.76	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01135	ARSB	arylsulfatase B	EC:3.1.6.12	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K07964	HPSE	heparanase	EC:3.2.1.166	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01565	SGSH	N-sulfoglucosamine sulfohydrolase	EC:3.10.1.1	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K10532	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	EC:2.3.1.78	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01205	NAGLU	alpha-N-acetylglucosaminidase	EC:3.2.1.50	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01132	GALNS	N-acetylgalactosamine-6-sulfatase	EC:3.1.6.4	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K01137	GNS	N-acetylglucosamine-6-sulfatase	EC:3.1.6.14	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K12373	HEXA_B	hexosaminidase	EC:3.2.1.52	Glycosaminoglycan degradation	Glycan biosynthesis and metabolism
K05286	PIGB	GPI mannosyltransferase 3	EC:2.4.1.-	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycan biosynthesis and metabolism
K07406	melA	alpha-galactosidase	EC:3.2.1.22	Glycosphingolipid biosynthesis - globo and isoglobo series	Glycan biosynthesis and metabolism
K07407	E3.2.1.22B	alpha-galactosidase	EC:3.2.1.22	Glycosphingolipid biosynthesis - globo and isoglobo series	Glycan biosynthesis and metabolism
K12373	HEXA_B	hexosaminidase	EC:3.2.1.52	Glycosphingolipid biosynthesis - globo and isoglobo series	Glycan biosynthesis and metabolism
K12373	HEXA_B	hexosaminidase	EC:3.2.1.52	Glycosphingolipid biosynthesis - ganglio series	Glycan biosynthesis and metabolism
K00677	lpxA	UDP-N-acetylglucosamine acyltransferase	EC:2.3.1.129	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02535	lpxC	UDP-3-O-	3-hydroxymyristoyl	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K16363	lpxC-fabZ	UDP-3-O-	3-hydroxymyristoyl	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02536	lpxD	UDP-3-O-	3-hydroxymyristoyl	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03269	lpxH	UDP-2,3-diacylglucosamine hydrolase	EC:3.6.1.54	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K00748	lpxB	lipid-A-disaccharide synthase	EC:2.4.1.182	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K00912	lpxK	tetraacyldisaccharide 4'-kinase	EC:2.7.1.130	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K06041	kdsD	arabinose-5-phosphate isomerase	EC:5.3.1.13	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K01627	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)	EC:2.5.1.55	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03270	kdsC	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)	EC:3.1.3.45	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K00979	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase)	EC:2.7.7.38	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02527	kdtA	3-deoxy-D-manno-octulosonic-acid transferase	EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02517	lpxL	Kdo2-lipid IVA lauroyltransferase/acyltransferase	EC:2.3.1.241 2.3.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02560	lpxM	lauroyl-Kdo2-lipid IVA myristoyltransferase	EC:2.3.1.243	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12979	lpxO	beta-hydroxylase	EC:1.14.11.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K09953	lpxR	lipid A 3-O-deacylase	EC:3.1.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K19803	lpxT	Kdo2-lipid A phosphotransferase	EC:2.7.4.29	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03760	eptA	lipid A ethanolaminephosphotransferase	EC:2.7.8.43	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12975	eptB	KDO II ethanolaminephosphotransferase	EC:2.7.8.42	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12973	pagP	lipid IVA palmitoyltransferase	EC:2.3.1.251	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K07264	arnT	4-amino-4-deoxy-L-arabinose transferase	EC:2.4.2.43	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12976	pagL	lipid A 3-O-deacylase	EC:3.1.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K09778	lpxJ	Kdo2-lipid IVA 3' secondary acyltransferase	EC:2.3.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12977	lpxE	lipid A 1-phosphatase	EC:3.1.3.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K23083	kdoH2	3-deoxy-D-manno-octulosonic acid-hydrolase	NA	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K23159	lpxF	lipid A 4'-phosphatase	EC:3.1.3.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K11211	kdkA	3-deoxy-D-manno-octulosonic acid kinase	EC:2.7.1.166	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12974	lpxP	KDO2-lipid IV(A) palmitoleoyltransferase	EC:2.3.1.242	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03271	gmhA	D-sedoheptulose 7-phosphate isomerase	EC:5.3.1.28	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03272	gmhC	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase	EC:2.7.1.167 2.7.7.70	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K21344	rfaE1	D-glycero-beta-D-manno-heptose-7-phosphate kinase	EC:2.7.1.167	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03273	gmhB	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase	EC:3.1.3.82 3.1.3.83	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K21345	rfaE2	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	EC:2.7.7.70	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03274	gmhD	ADP-L-glycero-D-manno-heptose 6-epimerase	EC:5.1.3.20	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K07031	hddA	D-glycero-alpha-D-manno-heptose-7-phosphate kinase	EC:2.7.1.168	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K15669	hddC	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	EC:2.7.7.71	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02841	waaC	heptosyltransferase I	EC:2.4.-.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02843	waaF	heptosyltransferase II	EC:2.4.-.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02848	waaP	heptose I phosphotransferase	EC:2.7.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K19353	eptC	heptose-I-phosphate ethanolaminephosphotransferase	EC:2.7.8.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02849	waaQ	heptosyltransferase III	EC:2.4.-.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K23160	wabB	GlcNAc transferase	NA	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02850	waaY	heptose II phosphotransferase	EC:2.7.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12981	waaZ	KDO transferase III	EC:2.4.99.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12986	waaS	1,5-rhamnosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02844	waaG	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02840	waaB	UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03275	waaO	UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03276	waaR	UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03277	waaU	heptosyltransferase IV	EC:2.4.-.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12983	waaV	UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K12985	waaW	(galactosyl)LPS 1,2-glucosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03280	waaK	UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase	EC:2.4.1.56	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03278	waaI	UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase	EC:2.4.1.44	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K03279	waaJ	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase	EC:2.4.1.58	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K00713	waaD	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K23067	waaX	beta-1,4-galactosyltransferase	NA	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K02847	waaL	O-antigen ligase	EC:2.4.1.-	Lipopolysaccharide biosynthesis	Glycan biosynthesis and metabolism
K00790	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	EC:2.5.1.7	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K00075	murB	UDP-N-acetylmuramate dehydrogenase	EC:1.3.1.98	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01924	murC	UDP-N-acetylmuramate--alanine ligase	EC:6.3.2.8	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01925	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	EC:6.3.2.9	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01928	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	EC:6.3.2.13	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01921	ddl	D-alanine-D-alanine ligase	EC:6.3.2.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01929	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	EC:6.3.2.10	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K15792	murEF	murE/murF fusion protein	EC:6.3.2.13 6.3.2.10	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K00887	dgkA	undecaprenol kinase	EC:2.7.1.66	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K06153	bacA	undecaprenyl-diphosphatase	EC:3.6.1.27	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K19302	bcrC	undecaprenyl-diphosphatase	EC:3.6.1.27	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K01000	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	EC:2.7.8.13	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K02563	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	EC:2.4.1.227	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K03814	mtgA	monofunctional glycosyltransferase	EC:2.4.1.129	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K05366	mrcA	penicillin-binding protein 1A	EC:2.4.1.129 3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K05365	mrcB	penicillin-binding protein 1B	EC:2.4.1.129 3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K05367	pbpC	penicillin-binding protein 1C	EC:2.4.1.129	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K12555	pbp2A	penicillin-binding protein 2A	EC:2.4.1.129 3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K18770	pbpD	penicillin-binding protein 4	EC:2.4.1.129 3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K21464	pbpG	penicillin-binding protein 2D	EC:2.4.1.129 3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K05515	mrdA	penicillin-binding protein 2	EC:3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K03587	ftsI	cell division protein FtsI (penicillin-binding protein 3)	EC:3.4.16.4	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K18149	pbp5	penicillin-binding protein	NA	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K08724	pbpB	penicillin-binding protein 2B	NA	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
K08384	spoVD	stage V sporulation protein D (sporulation-specific penicillin-binding protein)	NA	Peptidoglycan biosynthesis	Glycan biosynthesis and metabolism
